prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	59	5	11	0.84	0.92	0.878	0.08
STARSEQR	2	54	11	16	0.77	0.83	0.799	0.17
SOAP-fuse	2	47	3	23	0.67	0.94	0.782	0.0600000000000001
ChimPipe	3	45	0	25	0.64	1	0.78	0
ARRIBA_hc	2	50	12	20	0.71	0.81	0.757	0.19
ARRIBA	2	64	45	6	0.91	0.59	0.716	0.41
PRADA	4	35	0	35	0.5	1	0.667	0
FUSIONCATCHER_v1.10_June192019	3	38	13	32	0.54	0.75	0.628	0.25
FusionHunter	3	29	1	41	0.41	0.97	0.576	0.03
JAFFA-Hybrid	2	28	5	42	0.4	0.85	0.544	0.15
JAFFA-Assembly	2	28	5	42	0.4	0.85	0.544	0.15
STARCHIP_csm10_pGm2_May012019	3	27	4	43	0.39	0.87	0.539	0.13
TrinityFusion-UC	2	24	0	46	0.34	1	0.507	0
MapSplice	8	28	14	42	0.4	0.67	0.501	0.33
PIZZLY	5	36	38	34	0.51	0.49	0.5	0.51
InFusion	5	36	45	34	0.51	0.44	0.472	0.56
TrinityFusion-C	2	22	1	48	0.31	0.96	0.469	0.04
deFuse	7	30	30	40	0.43	0.5	0.462	0.5
TopHat-Fusion	8	29	51	41	0.41	0.36	0.383	0.64
nFuse	23	21	26	49	0.3	0.45	0.36	0.55
EricScript	7	28	63	42	0.4	0.31	0.349	0.69
ChimeraScan	6	30	72	40	0.43	0.29	0.346	0.71
TrinityFusion-D	4	15	1	55	0.21	0.94	0.343	0.0600000000000001
