prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	56	10	14	0.8	0.85	0.824	0.15
ChimPipe	3	45	2	25	0.64	0.96	0.768	0.04
STARSEQR	2	54	18	16	0.77	0.75	0.76	0.25
SOAP-fuse	3	43	5	27	0.61	0.9	0.727	0.1
PRADA	4	35	0	35	0.5	1	0.667	0
ARRIBA_hc	2	47	30	23	0.67	0.61	0.639	0.39
FUSIONCATCHER_v1.10_June192019	4	37	13	33	0.53	0.74	0.618	0.26
ARRIBA	4	46	40	24	0.66	0.53	0.588	0.47
FusionHunter	3	29	1	41	0.41	0.97	0.576	0.03
JAFFA-Hybrid	2	28	8	42	0.4	0.78	0.529	0.22
JAFFA-Assembly	2	28	8	42	0.4	0.78	0.529	0.22
TrinityFusion-UC	2	24	0	46	0.34	1	0.507	0
MapSplice	8	28	14	42	0.4	0.67	0.501	0.33
TrinityFusion-C	2	23	0	47	0.33	1	0.496	0
STARCHIP_csm10_pGm2_May012019	3	27	18	43	0.39	0.6	0.473	0.4
InFusion	8	28	22	42	0.4	0.56	0.467	0.44
PIZZLY	5	35	51	35	0.5	0.41	0.451	0.59
deFuse	7	30	36	40	0.43	0.45	0.44	0.55
TopHat-Fusion	8	29	51	41	0.41	0.36	0.383	0.64
nFuse	23	21	28	49	0.3	0.43	0.353	0.57
ChimeraScan	6	30	77	40	0.43	0.28	0.339	0.72
EricScript	6	30	81	40	0.43	0.27	0.332	0.73
TrinityFusion-D	4	14	1	56	0.2	0.93	0.329	0.07
