prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	43	9	7	0.86	0.83	0.845
2	ChimPipe	4	38	3	12	0.76	0.93	0.836
3	STARSEQR	3	45	15	5	0.9	0.75	0.818
4	SOAP-fuse	5	38	5	12	0.76	0.88	0.816
5	PRADA	5	34	0	16	0.68	1	0.81
6	FUSIONCATCHER_v1.10_June192019	4	36	14	14	0.72	0.72	0.72
7	FusionHunter	3	28	2	22	0.56	0.93	0.699
8	ARRIBA_hc	3	40	25	10	0.8	0.62	0.699
9	JAFFA-Hybrid	2	28	8	22	0.56	0.78	0.652
10	JAFFA-Assembly	2	28	8	22	0.56	0.78	0.652
11	ARRIBA	7	31	20	19	0.62	0.61	0.615
12	TrinityFusion-UC	2	22	2	28	0.44	0.92	0.595
13	MapSplice	8	27	15	23	0.54	0.64	0.586
14	TrinityFusion-C	2	21	2	29	0.42	0.91	0.575
15	InFusion	8	28	22	22	0.56	0.56	0.56
16	STARCHIP_csm10_pGm2_May012019	4	25	15	25	0.5	0.62	0.554
17	PIZZLY	9	24	16	26	0.48	0.6	0.533
18	deFuse	7	30	36	20	0.6	0.45	0.514
19	TopHat-Fusion	8	28	52	22	0.56	0.35	0.431
20	TrinityFusion-D	4	14	1	36	0.28	0.93	0.43
21	nFuse	23	20	28	30	0.4	0.42	0.41
22	EricScript	10	25	57	25	0.5	0.3	0.375
23	ChimeraScan	8	23	52	27	0.46	0.31	0.37
