progname	min_thresh	ignoreUnsure	okpara	auc
SOAP-fuse	10	1	0	0.96
ChimPipe	10	1	0	0.95
PRADA	10	1	0	0.95
STAR_FUSION_v1.5	10	1	0	0.90
STARSEQR	10	1	0	0.83
ARRIBA_hc	10	1	0	0.78
FUSIONCATCHER_v1.10_June192019	10	1	0	0.77
ARRIBA	10	1	0	0.76
PIZZLY	10	1	0	0.73
FusionHunter	10	1	0	0.64
STARCHIP_csm10_pGm2_May012019	10	1	0	0.58
MapSplice	10	1	0	0.57
JAFFA-Assembly	10	1	0	0.55
JAFFA-Hybrid	10	1	0	0.55
TrinityFusion-UC	10	1	0	0.48
TrinityFusion-C	10	1	0	0.47
InFusion	10	1	0	0.43
deFuse	10	1	0	0.33
TrinityFusion-D	10	1	0	0.32
ChimeraScan	10	1	0	0.29
nFuse	10	1	0	0.28
TopHat-Fusion	10	1	0	0.27
EricScript	10	1	0	0.20
SOAP-fuse	10	1	1	0.96
ChimPipe	10	1	1	0.95
PRADA	10	1	1	0.95
STAR_FUSION_v1.5	10	1	1	0.90
STARSEQR	10	1	1	0.83
ARRIBA_hc	10	1	1	0.78
FUSIONCATCHER_v1.10_June192019	10	1	1	0.77
ARRIBA	10	1	1	0.76
PIZZLY	10	1	1	0.73
FusionHunter	10	1	1	0.64
STARCHIP_csm10_pGm2_May012019	10	1	1	0.58
MapSplice	10	1	1	0.57
JAFFA-Assembly	10	1	1	0.55
JAFFA-Hybrid	10	1	1	0.55
TrinityFusion-UC	10	1	1	0.48
TrinityFusion-C	10	1	1	0.47
InFusion	10	1	1	0.43
deFuse	10	1	1	0.33
TrinityFusion-D	10	1	1	0.32
ChimeraScan	10	1	1	0.29
nFuse	10	1	1	0.28
TopHat-Fusion	10	1	1	0.27
EricScript	10	1	1	0.20
PRADA	10	0	0	0.94
SOAP-fuse	10	0	0	0.93
ChimPipe	10	0	0	0.80
STAR_FUSION_v1.5	10	0	0	0.79
FUSIONCATCHER_v1.10_June192019	10	0	0	0.70
ARRIBA_hc	10	0	0	0.65
PIZZLY	10	0	0	0.65
STARSEQR	10	0	0	0.65
ARRIBA	10	0	0	0.61
FusionHunter	10	0	0	0.60
MapSplice	10	0	0	0.57
JAFFA-Assembly	10	0	0	0.48
JAFFA-Hybrid	10	0	0	0.48
STARCHIP_csm10_pGm2_May012019	10	0	0	0.45
TrinityFusion-C	10	0	0	0.42
TrinityFusion-UC	10	0	0	0.42
InFusion	10	0	0	0.39
deFuse	10	0	0	0.29
TrinityFusion-D	10	0	0	0.28
