prog	rankval	mt	iu	okp	auc
1	STAR_FUSION_v1.5	1	3	0	0	0.5
2	STAR_FUSION_v1.5	2	3	0	1	0.47
3	STAR_FUSION_v1.5	2	3	1	0	0.5
4	STAR_FUSION_v1.5	3	3	1	1	0.47
5	STAR_FUSION_v1.5	1	4	0	0	0.69
6	STAR_FUSION_v1.5	1	4	0	1	0.66
7	STAR_FUSION_v1.5	1	4	1	0	0.69
8	STAR_FUSION_v1.5	1	4	1	1	0.66
9	STAR_FUSION_v1.5	1	5	0	0	0.76
10	STAR_FUSION_v1.5	1	5	0	1	0.75
11	STAR_FUSION_v1.5	1	5	1	0	0.77
12	STAR_FUSION_v1.5	1	5	1	1	0.76
13	STAR_FUSION_v1.5	1	6	0	0	0.81
14	STAR_FUSION_v1.5	1	6	0	1	0.79
15	STAR_FUSION_v1.5	1	6	1	0	0.83
16	STAR_FUSION_v1.5	1	6	1	1	0.81
17	STAR_FUSION_v1.5	2	7	0	0	0.84
18	STAR_FUSION_v1.5	2	7	0	1	0.82
19	STAR_FUSION_v1.5	2	7	1	0	0.86
20	STAR_FUSION_v1.5	2	7	1	1	0.84
21	STAR_FUSION_v1.5	2	8	0	0	0.88
22	STAR_FUSION_v1.5	2	8	0	1	0.85
23	STAR_FUSION_v1.5	1	8	1	0	0.9
24	STAR_FUSION_v1.5	3	8	1	1	0.87
25	STAR_FUSION_v1.5	2	9	0	0	0.87
26	STAR_FUSION_v1.5	4	9	0	1	0.84
27	STAR_FUSION_v1.5	3	9	1	0	0.89
28	STAR_FUSION_v1.5	3	9	1	1	0.87
29	STAR_FUSION_v1.5	4	10	0	0	0.79
30	STAR_FUSION_v1.5	4	10	0	1	0.79
31	STAR_FUSION_v1.5	4	10	1	0	0.9
32	STAR_FUSION_v1.5	4	10	1	1	0.9
33	ARRIBA	2	3	0	0	0.47
34	ARRIBA	3	3	0	1	0.44
35	ARRIBA	1	3	1	0	0.52
36	ARRIBA	1	3	1	1	0.49
37	ARRIBA	4	4	0	0	0.55
38	ARRIBA	5	4	0	1	0.51
39	ARRIBA	4	4	1	0	0.62
40	ARRIBA	5	4	1	1	0.58
41	ARRIBA	5	5	0	0	0.64
42	ARRIBA	5	5	0	1	0.61
43	ARRIBA	2	5	1	0	0.72
44	ARRIBA	4	5	1	1	0.68
45	ARRIBA	5	6	0	0	0.66
46	ARRIBA	6	6	0	1	0.64
47	ARRIBA	5	6	1	0	0.75
48	ARRIBA	5	6	1	1	0.73
49	ARRIBA	7	7	0	0	0.66
50	ARRIBA	8	7	0	1	0.64
51	ARRIBA	5	7	1	0	0.76
52	ARRIBA	5	7	1	1	0.74
53	ARRIBA	8	8	0	0	0.66
54	ARRIBA	8	8	0	1	0.64
55	ARRIBA	6	8	1	0	0.76
56	ARRIBA	7	8	1	1	0.74
57	ARRIBA	7	9	0	0	0.69
58	ARRIBA	8	9	0	1	0.66
59	ARRIBA	7	9	1	0	0.79
60	ARRIBA	8	9	1	1	0.76
61	ARRIBA	9	10	0	0	0.61
62	ARRIBA	9	10	0	1	0.61
63	ARRIBA	8	10	1	0	0.76
64	ARRIBA	8	10	1	1	0.76
65	ChimPipe	3	3	0	0	0.47
66	ChimPipe	1	3	0	1	0.47
67	ChimPipe	4	3	1	0	0.47
68	ChimPipe	2	3	1	1	0.47
69	ChimPipe	2	4	0	0	0.63
70	ChimPipe	2	4	0	1	0.63
71	ChimPipe	2	4	1	0	0.63
72	ChimPipe	2	4	1	1	0.63
73	ChimPipe	3	5	0	0	0.69
74	ChimPipe	2	5	0	1	0.69
75	ChimPipe	3	5	1	0	0.72
76	ChimPipe	2	5	1	1	0.72
77	ChimPipe	3	6	0	0	0.75
78	ChimPipe	3	6	0	1	0.75
79	ChimPipe	2	6	1	0	0.79
80	ChimPipe	2	6	1	1	0.79
81	ChimPipe	3	7	0	0	0.81
82	ChimPipe	3	7	0	1	0.81
83	ChimPipe	3	7	1	0	0.85
84	ChimPipe	1	7	1	1	0.85
85	ChimPipe	3	8	0	0	0.84
86	ChimPipe	3	8	0	1	0.84
87	ChimPipe	2	8	1	0	0.89
88	ChimPipe	1	8	1	1	0.89
89	ChimPipe	3	9	0	0	0.85
90	ChimPipe	2	9	0	1	0.85
91	ChimPipe	2	9	1	0	0.9
92	ChimPipe	1	9	1	1	0.9
93	ChimPipe	3	10	0	0	0.8
94	ChimPipe	3	10	0	1	0.8
95	ChimPipe	2	10	1	0	0.95
96	ChimPipe	2	10	1	1	0.95
97	SOAP-fuse	4	3	0	0	0.46
98	SOAP-fuse	4	3	0	1	0.43
99	SOAP-fuse	5	3	1	0	0.47
100	SOAP-fuse	5	3	1	1	0.44
101	SOAP-fuse	3	4	0	0	0.63
102	SOAP-fuse	3	4	0	1	0.58
103	SOAP-fuse	3	4	1	0	0.63
104	SOAP-fuse	4	4	1	1	0.59
105	SOAP-fuse	2	5	0	0	0.7
106	SOAP-fuse	3	5	0	1	0.67
107	SOAP-fuse	5	5	1	0	0.71
108	SOAP-fuse	5	5	1	1	0.67
109	SOAP-fuse	2	6	0	0	0.78
110	SOAP-fuse	2	6	0	1	0.76
111	SOAP-fuse	3	6	1	0	0.79
112	SOAP-fuse	3	6	1	1	0.77
113	SOAP-fuse	1	7	0	0	0.85
114	SOAP-fuse	1	7	0	1	0.82
115	SOAP-fuse	1	7	1	0	0.86
116	SOAP-fuse	3	7	1	1	0.83
117	SOAP-fuse	1	8	0	0	0.88
118	SOAP-fuse	1	8	0	1	0.85
119	SOAP-fuse	3	8	1	0	0.89
120	SOAP-fuse	2	8	1	1	0.87
121	SOAP-fuse	1	9	0	0	0.89
122	SOAP-fuse	1	9	0	1	0.86
123	SOAP-fuse	1	9	1	0	0.91
124	SOAP-fuse	2	9	1	1	0.88
125	SOAP-fuse	2	10	0	0	0.93
126	SOAP-fuse	2	10	0	1	0.93
127	SOAP-fuse	1	10	1	0	0.96
128	SOAP-fuse	1	10	1	1	0.96
129	ARRIBA_hc	5	3	0	0	0.43
130	ARRIBA_hc	5	3	0	1	0.41
131	ARRIBA_hc	3	3	1	0	0.47
132	ARRIBA_hc	4	3	1	1	0.44
133	ARRIBA_hc	6	4	0	0	0.53
134	ARRIBA_hc	6	4	0	1	0.5
135	ARRIBA_hc	6	4	1	0	0.58
136	ARRIBA_hc	6	4	1	1	0.55
137	ARRIBA_hc	6	5	0	0	0.62
138	ARRIBA_hc	6	5	0	1	0.6
139	ARRIBA_hc	6	5	1	0	0.68
140	ARRIBA_hc	6	5	1	1	0.66
141	ARRIBA_hc	4	6	0	0	0.67
142	ARRIBA_hc	7	6	0	1	0.64
143	ARRIBA_hc	6	6	1	0	0.74
144	ARRIBA_hc	6	6	1	1	0.72
145	ARRIBA_hc	5	7	0	0	0.69
146	ARRIBA_hc	6	7	0	1	0.67
147	ARRIBA_hc	6	7	1	0	0.76
148	ARRIBA_hc	6	7	1	1	0.74
149	ARRIBA_hc	5	8	0	0	0.73
150	ARRIBA_hc	6	8	0	1	0.7
151	ARRIBA_hc	5	8	1	0	0.8
152	ARRIBA_hc	5	8	1	1	0.77
153	ARRIBA_hc	6	9	0	0	0.74
154	ARRIBA_hc	6	9	0	1	0.71
155	ARRIBA_hc	6	9	1	0	0.81
156	ARRIBA_hc	6	9	1	1	0.78
157	ARRIBA_hc	6	10	0	0	0.65
158	ARRIBA_hc	6	10	0	1	0.65
159	ARRIBA_hc	6	10	1	0	0.78
160	ARRIBA_hc	6	10	1	1	0.78
161	STARSEQR	6	3	0	0	0.4
162	STARSEQR	6	3	0	1	0.4
163	STARSEQR	6	3	1	0	0.44
164	STARSEQR	6	3	1	1	0.44
165	STARSEQR	5	4	0	0	0.54
166	STARSEQR	4	4	0	1	0.54
167	STARSEQR	5	4	1	0	0.6
168	STARSEQR	3	4	1	1	0.6
169	STARSEQR	4	5	0	0	0.65
170	STARSEQR	4	5	0	1	0.65
171	STARSEQR	4	5	1	0	0.72
172	STARSEQR	3	5	1	1	0.72
173	STARSEQR	7	6	0	0	0.66
174	STARSEQR	5	6	0	1	0.66
175	STARSEQR	4	6	1	0	0.77
176	STARSEQR	4	6	1	1	0.77
177	STARSEQR	6	7	0	0	0.68
178	STARSEQR	5	7	0	1	0.68
179	STARSEQR	4	7	1	0	0.79
180	STARSEQR	4	7	1	1	0.79
181	STARSEQR	7	8	0	0	0.69
182	STARSEQR	7	8	0	1	0.69
183	STARSEQR	4	8	1	0	0.81
184	STARSEQR	4	8	1	1	0.81
185	STARSEQR	8	9	0	0	0.69
186	STARSEQR	7	9	0	1	0.69
187	STARSEQR	5	9	1	0	0.82
188	STARSEQR	5	9	1	1	0.82
189	STARSEQR	8	10	0	0	0.65
190	STARSEQR	8	10	0	1	0.65
191	STARSEQR	5	10	1	0	0.83
192	STARSEQR	5	10	1	1	0.83
193	PRADA	7	3	0	0	0.36
194	PRADA	7	3	0	1	0.36
195	PRADA	7	3	1	0	0.36
196	PRADA	7	3	1	1	0.36
197	PRADA	7	4	0	0	0.49
198	PRADA	7	4	0	1	0.49
199	PRADA	7	4	1	0	0.49
200	PRADA	7	4	1	1	0.49
201	PRADA	7	5	0	0	0.6
202	PRADA	7	5	0	1	0.6
203	PRADA	7	5	1	0	0.6
204	PRADA	7	5	1	1	0.6
205	PRADA	6	6	0	0	0.66
206	PRADA	4	6	0	1	0.66
207	PRADA	7	6	1	0	0.67
208	PRADA	7	6	1	1	0.67
209	PRADA	4	7	0	0	0.72
210	PRADA	4	7	0	1	0.72
211	PRADA	7	7	1	0	0.72
212	PRADA	7	7	1	1	0.72
213	PRADA	4	8	0	0	0.74
214	PRADA	4	8	0	1	0.74
215	PRADA	7	8	1	0	0.75
216	PRADA	6	8	1	1	0.75
217	PRADA	4	9	0	0	0.84
218	PRADA	3	9	0	1	0.84
219	PRADA	4	9	1	0	0.84
220	PRADA	4	9	1	1	0.84
221	PRADA	1	10	0	0	0.94
222	PRADA	1	10	0	1	0.94
223	PRADA	3	10	1	0	0.95
224	PRADA	3	10	1	1	0.95
225	FUSIONCATCHER_v1.10_June192019	8	3	0	0	0.33
226	FUSIONCATCHER_v1.10_June192019	8	3	0	1	0.33
227	FUSIONCATCHER_v1.10_June192019	8	3	1	0	0.33
228	FUSIONCATCHER_v1.10_June192019	8	3	1	1	0.33
229	FUSIONCATCHER_v1.10_June192019	8	4	0	0	0.45
230	FUSIONCATCHER_v1.10_June192019	8	4	0	1	0.45
231	FUSIONCATCHER_v1.10_June192019	8	4	1	0	0.45
232	FUSIONCATCHER_v1.10_June192019	8	4	1	1	0.45
233	FUSIONCATCHER_v1.10_June192019	8	5	0	0	0.53
234	FUSIONCATCHER_v1.10_June192019	8	5	0	1	0.53
235	FUSIONCATCHER_v1.10_June192019	8	5	1	0	0.54
236	FUSIONCATCHER_v1.10_June192019	8	5	1	1	0.54
237	FUSIONCATCHER_v1.10_June192019	8	6	0	0	0.61
238	FUSIONCATCHER_v1.10_June192019	8	6	0	1	0.61
239	FUSIONCATCHER_v1.10_June192019	8	6	1	0	0.62
240	FUSIONCATCHER_v1.10_June192019	8	6	1	1	0.62
241	FUSIONCATCHER_v1.10_June192019	8	7	0	0	0.66
242	FUSIONCATCHER_v1.10_June192019	7	7	0	1	0.66
243	FUSIONCATCHER_v1.10_June192019	8	7	1	0	0.67
244	FUSIONCATCHER_v1.10_June192019	8	7	1	1	0.67
245	FUSIONCATCHER_v1.10_June192019	6	8	0	0	0.71
246	FUSIONCATCHER_v1.10_June192019	5	8	0	1	0.71
247	FUSIONCATCHER_v1.10_June192019	8	8	1	0	0.72
248	FUSIONCATCHER_v1.10_June192019	8	8	1	1	0.72
249	FUSIONCATCHER_v1.10_June192019	5	9	0	0	0.76
250	FUSIONCATCHER_v1.10_June192019	5	9	0	1	0.76
251	FUSIONCATCHER_v1.10_June192019	8	9	1	0	0.77
252	FUSIONCATCHER_v1.10_June192019	7	9	1	1	0.77
253	FUSIONCATCHER_v1.10_June192019	5	10	0	0	0.7
254	FUSIONCATCHER_v1.10_June192019	5	10	0	1	0.7
255	FUSIONCATCHER_v1.10_June192019	7	10	1	0	0.77
256	FUSIONCATCHER_v1.10_June192019	7	10	1	1	0.77
257	STARCHIP_csm10_pGm2_May012019	9	3	0	0	0.31
258	STARCHIP_csm10_pGm2_May012019	9	3	0	1	0.31
259	STARCHIP_csm10_pGm2_May012019	10	3	1	0	0.33
260	STARCHIP_csm10_pGm2_May012019	9	3	1	1	0.33
261	STARCHIP_csm10_pGm2_May012019	11	4	0	0	0.33
262	STARCHIP_csm10_pGm2_May012019	11	4	0	1	0.33
