prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
3.1	STAR_FUSION_v1.5	2	60	5	37	0.62	0.92	0.741	3
3.2	STARSEQR	2	58	11	39	0.6	0.84	0.7	3
3.3	ARRIBA	2	73	45	24	0.75	0.62	0.679	3
3.4	ARRIBA_hc	2	55	12	42	0.57	0.82	0.673	3
3.5	ChimPipe	3	46	0	51	0.47	1	0.639	3
3.6	SOAP-fuse	2	47	3	50	0.48	0.94	0.635	3
3.7	PRADA	4	35	0	62	0.36	1	0.529	3
3.8	FUSIONCATCHER_v1.10_June192019	3	38	13	59	0.39	0.75	0.513	3
3.9	STARCHIP_csm10_pGm2_May012019	3	34	4	63	0.35	0.89	0.502	3
3.10	JAFFA-Assembly	1	31	7	66	0.32	0.82	0.46	3
3.11	JAFFA-Hybrid	1	31	7	66	0.32	0.82	0.46	3
3.12	FusionHunter	3	29	1	68	0.3	0.97	0.458	3
3.13	PIZZLY	5	36	38	61	0.37	0.49	0.422	3
3.14	InFusion	5	37	45	60	0.38	0.45	0.412	3
3.15	MapSplice	5	29	17	68	0.3	0.63	0.406	3
3.16	deFuse	7	32	30	65	0.33	0.52	0.404	3
3.17	TrinityFusion-UC	2	24	0	73	0.25	1	0.4	3
3.18	TrinityFusion-C	2	23	0	74	0.24	1	0.387	3
3.19	TopHat-Fusion	7	31	58	66	0.32	0.35	0.334	3
3.20	EricScript	6	31	72	66	0.32	0.3	0.31	3
3.21	EricScript	7	29	63	68	0.3	0.32	0.31	3
3.22	nFuse	23	22	26	75	0.23	0.46	0.307	3
3.23	ChimeraScan	6	30	72	67	0.31	0.29	0.3	3
3.24	TrinityFusion-D	4	14	1	83	0.14	0.93	0.243	3
4.1	STAR_FUSION_v1.5	2	56	5	14	0.8	0.92	0.856	4
4.2	STARSEQR	2	54	11	16	0.77	0.83	0.799	4
4.3	ChimPipe	3	45	0	25	0.64	1	0.78	4
4.4	SOAP-fuse	2	44	3	26	0.63	0.94	0.754	4
4.5	ARRIBA_hc	2	47	12	23	0.67	0.8	0.729	4
4.6	ARRIBA	2	60	45	10	0.86	0.57	0.686	4
4.7	PRADA	4	35	0	35	0.5	1	0.667	4
4.8	FUSIONCATCHER_v1.10_June192019	3	38	13	32	0.54	0.75	0.628	4
4.9	FusionHunter	3	29	1	41	0.41	0.97	0.576	4
4.10	JAFFA-Hybrid	1	29	7	41	0.41	0.81	0.544	4
4.11	JAFFA-Hybrid	2	28	5	42	0.4	0.85	0.544	4
4.12	JAFFA-Assembly	1	29	7	41	0.41	0.81	0.544	4
4.13	JAFFA-Assembly	2	28	5	42	0.4	0.85	0.544	4
4.14	STARCHIP_csm10_pGm2_May012019	3	27	4	43	0.39	0.87	0.539	4
4.15	TrinityFusion-UC	2	24	0	46	0.34	1	0.507	4
4.16	MapSplice	8	28	14	42	0.4	0.67	0.501	4
4.17	TrinityFusion-C	2	23	0	47	0.33	1	0.496	4
4.18	PIZZLY	5	35	38	35	0.5	0.48	0.49	4
4.19	InFusion	5	36	45	34	0.51	0.44	0.472	4
4.20	deFuse	7	30	30	40	0.43	0.5	0.462	4
4.21	TopHat-Fusion	8	29	51	41	0.41	0.36	0.383	4
4.22	nFuse	23	21	26	49	0.3	0.45	0.36	4
4.23	EricScript	7	28	63	42	0.4	0.31	0.349	4
4.24	ChimeraScan	6	30	72	40	0.43	0.29	0.346	4
4.25	TrinityFusion-D	4	14	1	56	0.2	0.93	0.329	4
5.1	STAR_FUSION_v1.5	2	51	5	6	0.89	0.91	0.9	5
5.2	STARSEQR	3	48	7	9	0.84	0.87	0.855	5
5.3	ChimPipe	3	42	0	15	0.74	1	0.851	5
5.4	SOAP-fuse	2	41	3	16	0.72	0.93	0.812	5
5.5	ARRIBA_hc	3	42	8	15	0.74	0.84	0.787	5
5.6	PRADA	4	35	0	22	0.61	1	0.758	5
5.7	ARRIBA	4	44	20	13	0.77	0.69	0.728	5
5.8	FUSIONCATCHER_v1.10_June192019	3	37	13	20	0.65	0.74	0.692	5
5.9	FusionHunter	3	29	1	28	0.51	0.97	0.669	5
5.10	JAFFA-Hybrid	1	29	7	28	0.51	0.81	0.626	5
5.11	JAFFA-Assembly	1	29	7	28	0.51	0.81	0.626	5
5.12	STARCHIP_csm10_pGm2_May012019	3	26	4	31	0.46	0.87	0.602	5
5.13	TrinityFusion-UC	2	23	0	34	0.4	1	0.571	5
5.14	MapSplice	8	28	14	29	0.49	0.67	0.566	5
5.15	TrinityFusion-C	2	22	1	35	0.39	0.96	0.555	5
5.16	PIZZLY	6	31	28	26	0.54	0.53	0.535	5
5.17	InFusion	8	28	21	29	0.49	0.57	0.527	5
5.18	deFuse	7	30	30	27	0.53	0.5	0.515	5
5.19	TopHat-Fusion	8	29	51	28	0.51	0.36	0.422	5
5.20	TrinityFusion-D	4	14	1	43	0.25	0.93	0.394	5
5.21	nFuse	23	20	26	37	0.35	0.43	0.386	5
5.22	EricScript	7	28	63	29	0.49	0.31	0.38	5
5.23	ChimeraScan	6	29	72	28	0.51	0.29	0.37	5
6.1	STAR_FUSION_v1.5	2	46	5	4	0.92	0.9	0.91	6
6.2	ChimPipe	3	40	0	10	0.8	1	0.889	6
6.3	STARSEQR	3	45	7	5	0.9	0.87	0.885	6
6.4	SOAP-fuse	2	41	3	9	0.82	0.93	0.872	6
6.5	ARRIBA_hc	3	40	8	10	0.8	0.83	0.815	6
6.6	PRADA	5	34	0	16	0.68	1	0.81	6
6.7	ARRIBA	3	47	30	3	0.94	0.61	0.74	6
6.8	FUSIONCATCHER_v1.10_June192019	3	37	13	13	0.74	0.74	0.74	6
6.9	FusionHunter	3	28	1	22	0.56	0.97	0.71	6
6.10	JAFFA-Assembly	1	29	7	21	0.58	0.81	0.676	6
6.11	JAFFA-Hybrid	1	29	7	21	0.58	0.81	0.676	6
6.12	STARCHIP_csm10_pGm2_May012019	3	26	4	24	0.52	0.87	0.651	6
6.13	TrinityFusion-UC	2	22	0	28	0.44	1	0.611	6
6.14	MapSplice	8	27	14	23	0.54	0.66	0.594	6
6.15	TrinityFusion-C	2	21	1	29	0.42	0.95	0.582	6
6.16	PIZZLY	9	24	11	26	0.48	0.69	0.566	6
6.17	InFusion	8	28	21	22	0.56	0.57	0.565	6
6.18	deFuse	7	30	30	20	0.6	0.5	0.545	6
6.19	TopHat-Fusion	8	28	51	22	0.56	0.35	0.431	6
6.20	TrinityFusion-D	4	14	1	36	0.28	0.93	0.43	6
6.21	nFuse	23	20	26	30	0.4	0.43	0.414	6
