rankval	mt	iu
STAR_FUSION_v1.5	2	3
STAR_FUSION_v1.5	1	4
STAR_FUSION_v1.5	1	5
STAR_FUSION_v1.5	1	6
STAR_FUSION_v1.5	1	7
STAR_FUSION_v1.5	1	8
STAR_FUSION_v1.5	1	9
STAR_FUSION_v1.5	1	10
ARRIBA	1	3
ARRIBA	2	4
ARRIBA	2	5
ARRIBA	2	6
ARRIBA	2	7
ARRIBA	2	8
ARRIBA	2	9
ARRIBA	3	10
ARRIBA_hc	3	3
ARRIBA_hc	3	4
ARRIBA_hc	3	5
ARRIBA_hc	3	6
ARRIBA_hc	3	7
ARRIBA_hc	3	8
ARRIBA_hc	3	9
ARRIBA_hc	2	10
STARSEQR	4	3
STARSEQR	4	4
STARSEQR	4	5
STARSEQR	4	6
STARSEQR	4	7
STARSEQR	5	8
STARSEQR	6	9
STARSEQR	8	10
ChimPipe	6	3
ChimPipe	5	4
ChimPipe	5	5
ChimPipe	5	6
ChimPipe	5	7
ChimPipe	4	8
ChimPipe	4	9
ChimPipe	5	10
FUSIONCATCHER_v1.10_June192019	7	3
FUSIONCATCHER_v1.10_June192019	6	4
FUSIONCATCHER_v1.10_June192019	6	5
FUSIONCATCHER_v1.10_June192019	6	6
FUSIONCATCHER_v1.10_June192019	7	7
FUSIONCATCHER_v1.10_June192019	7	8
FUSIONCATCHER_v1.10_June192019	8	9
FUSIONCATCHER_v1.10_June192019	9	10
STARCHIP_csm10_pGm2_May012019	5	3
STARCHIP_csm10_pGm2_May012019	8	4
STARCHIP_csm10_pGm2_May012019	11	5
STARCHIP_csm10_pGm2_May012019	12	6
STARCHIP_csm10_pGm2_May012019	12	7
STARCHIP_csm10_pGm2_May012019	12	8
STARCHIP_csm10_pGm2_May012019	12	9
STARCHIP_csm10_pGm2_May012019	13	10
InFusion	8	3
InFusion	7	4
InFusion	7	5
InFusion	10	6
InFusion	10	7
InFusion	11	8
InFusion	11	9
InFusion	11	10
TopHat-Fusion	9	3
TopHat-Fusion	9	4
TopHat-Fusion	13	5
TopHat-Fusion	13	6
TopHat-Fusion	15	7
TopHat-Fusion	16	8
TopHat-Fusion	16	9
TopHat-Fusion	16	10
SOAP-fuse	11	3
SOAP-fuse	11	4
SOAP-fuse	8	5
SOAP-fuse	8	6
SOAP-fuse	8	7
SOAP-fuse	8	8
SOAP-fuse	7	9
SOAP-fuse	6	10
TrinityFusion-C	12	3
TrinityFusion-C	10	4
TrinityFusion-C	9	5
TrinityFusion-C	7	6
TrinityFusion-C	6	7
TrinityFusion-C	6	8
TrinityFusion-C	5	9
TrinityFusion-C	4	10
MapSplice	13	3
MapSplice	12	4
MapSplice	12	5
MapSplice	11	6
MapSplice	11	7
MapSplice	10	8
MapSplice	10	9
MapSplice	10	10
TrinityFusion-UC	14	3
TrinityFusion-UC	13	4
TrinityFusion-UC	10	5
TrinityFusion-UC	9	6
TrinityFusion-UC	9	7
TrinityFusion-UC	9	8
TrinityFusion-UC	9	9
TrinityFusion-UC	7	10
PIZZLY	10	3
PIZZLY	14	4
PIZZLY	14	5
PIZZLY	16	6
PIZZLY	16	7
PIZZLY	15	8
PIZZLY	15	9
PIZZLY	15	10
TrinityFusion-D	18	3
TrinityFusion-D	17	4
TrinityFusion-D	15	5
TrinityFusion-D	14	6
TrinityFusion-D	13	7
TrinityFusion-D	13	8
TrinityFusion-D	13	9
TrinityFusion-D	14	10
JAFFA-Assembly	17	3
JAFFA-Assembly	18	4
JAFFA-Assembly	18	5
JAFFA-Assembly	18	6
JAFFA-Assembly	18	7
JAFFA-Assembly	18	8
JAFFA-Assembly	18	9
JAFFA-Assembly	18	10
JAFFA-Direct	15	3
JAFFA-Direct	15	4
JAFFA-Direct	17	5
JAFFA-Direct	17	6
JAFFA-Direct	17	7
JAFFA-Direct	17	8
JAFFA-Direct	17	9
JAFFA-Direct	17	10
PRADA	16	3
PRADA	16	4
PRADA	16	5
PRADA	15	6
PRADA	14	7
PRADA	14	8
PRADA	14	9
PRADA	12	10
ChimeraScan	19	3
ChimeraScan	19	4
ChimeraScan	19	5
ChimeraScan	19	6
ChimeraScan	19	7
ChimeraScan	19	8
ChimeraScan	19	9
ChimeraScan	19	10
JAFFA-Hybrid	20	3
JAFFA-Hybrid	20	4
JAFFA-Hybrid	20	5
JAFFA-Hybrid	20	6
JAFFA-Hybrid	21	7
JAFFA-Hybrid	21	8
JAFFA-Hybrid	21	9
JAFFA-Hybrid	21	10
deFuse	21	3
deFuse	22	4
deFuse	22	5
deFuse	23	6
deFuse	23	7
deFuse	23	8
deFuse	23	9
deFuse	22	10
nFuse	22	3
nFuse	23	4
nFuse	23	5
nFuse	22	6
nFuse	22	7
nFuse	22	8
nFuse	22	9
nFuse	23	10
FusionHunter	23	3
FusionHunter	21	4
FusionHunter	21	5
FusionHunter	21	6
FusionHunter	20	7
FusionHunter	20	8
FusionHunter	20	9
FusionHunter	20	10
EricScript	24	3
EricScript	24	4
EricScript	24	5
EricScript	24	6
EricScript	24	7
EricScript	24	8
EricScript	24	9
EricScript	24	10
