prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	311	66	40	0.89	0.82	0.854	0.18
TrinityFusion-C	2	246	16	105	0.7	0.94	0.802	0.0600000000000001
ARRIBA_hc	5	276	77	75	0.79	0.78	0.785	0.22
ChimPipe	3	228	8	123	0.65	0.97	0.778	0.03
TrinityFusion-UC	3	223	12	128	0.64	0.95	0.765	0.05
ARRIBA	6	278	125	73	0.79	0.69	0.737	0.31
SOAP-fuse	6	228	58	123	0.65	0.8	0.717	0.2
STARSEQR	3	310	246	41	0.88	0.56	0.684	0.44
TrinityFusion-D	2	189	24	162	0.54	0.89	0.672	0.11
PRADA	3	183	21	168	0.52	0.9	0.659	0.1
MapSplice	6	256	205	95	0.73	0.56	0.634	0.44
STARCHIP_csm10_pGm2_May012019	4	195	82	156	0.56	0.7	0.622	0.3
FUSIONCATCHER_v1.10_June192019	9	268	260	83	0.76	0.51	0.61	0.49
InFusion	8	236	202	115	0.67	0.54	0.598	0.46
TopHat-Fusion	7	249	297	102	0.71	0.46	0.558	0.54
JAFFA-Assembly	7	214	223	137	0.61	0.49	0.543	0.51
PIZZLY	5	225	303	126	0.64	0.43	0.514	0.57
JAFFA-Direct	7	221	360	130	0.63	0.38	0.474	0.62
FusionHunter	5	90	56	261	0.26	0.62	0.366	0.38
ChimeraScan	20	77	95	274	0.22	0.45	0.296	0.55
JAFFA-Hybrid	9	230	988	121	0.66	0.19	0.295	0.81
deFuse	22	166	834	185	0.47	0.17	0.25	0.83
nFuse	15	195	1243	156	0.56	0.14	0.224	0.86
EricScript	62	72	550	279	0.21	0.12	0.153	0.88
