prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	694	501	259	0.73	0.58	0.646
2	STARSEQR	2	604	721	349	0.63	0.46	0.532
3	ARRIBA_hc	3	460	350	493	0.48	0.57	0.521
4	ARRIBA	2	646	948	307	0.68	0.41	0.512
5	ChimPipe	3	329	32	624	0.35	0.91	0.506
6	TrinityFusion-C	2	331	70	622	0.35	0.83	0.492
7	TrinityFusion-UC	2	309	76	644	0.32	0.8	0.457
8	InFusion	5	390	386	563	0.41	0.5	0.451
9	FUSIONCATCHER_v1.10_June192019	4	464	666	489	0.49	0.41	0.446
10	TopHat-Fusion	5	407	499	546	0.43	0.45	0.44
11	MapSplice	3	344	305	609	0.36	0.53	0.429
12	JAFFA-Direct	3	465	784	488	0.49	0.37	0.422
13	SOAP-fuse	2	291	178	662	0.31	0.62	0.413
14	STARCHIP_csm10_pGm2_May012019	3	303	273	650	0.32	0.53	0.399
15	TrinityFusion-D	2	235	40	718	0.25	0.85	0.386
16	JAFFA-Assembly	2	332	469	621	0.35	0.41	0.378
17	PRADA	3	202	39	751	0.21	0.84	0.336
18	PIZZLY	4	316	668	637	0.33	0.32	0.325
19	JAFFA-Hybrid	3	476	1976	477	0.5	0.19	0.275
20	deFuse	10	369	1865	584	0.39	0.17	0.237
21	ChimeraScan	6	246	1074	707	0.26	0.19	0.22
22	ChimeraScan	7	217	818	736	0.23	0.21	0.22
23	nFuse	14	295	1472	658	0.31	0.17	0.22
24	FusionHunter	3	100	62	853	0.1	0.62	0.172
25	FusionHunter	4	99	60	854	0.1	0.62	0.172
26	FusionHunter	5	97	59	856	0.1	0.62	0.172
27	FusionHunter	6	95	57	858	0.1	0.62	0.172
28	FusionHunter	7	92	57	861	0.1	0.62	0.172
29	EricScript	18	190	2007	763	0.2	0.09	0.124
