prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	593	270	105	0.85	0.69	0.762
2	STARSEQR	2	529	301	169	0.76	0.64	0.695
3	ARRIBA_hc	2	438	217	260	0.63	0.67	0.649
4	ARRIBA_hc	3	415	158	283	0.59	0.72	0.649
5	ARRIBA	4	441	241	257	0.63	0.65	0.64
6	ChimPipe	3	306	8	392	0.44	0.97	0.605
7	TrinityFusion-C	2	303	16	395	0.43	0.95	0.592
8	TrinityFusion-UC	2	287	34	411	0.41	0.89	0.561
9	FUSIONCATCHER_v1.10_June192019	4	433	562	265	0.62	0.44	0.515
10	SOAP-fuse	2	284	132	414	0.41	0.68	0.512
11	InFusion	5	354	334	344	0.51	0.51	0.51
12	MapSplice	3	327	282	371	0.47	0.54	0.503
13	TopHat-Fusion	6	344	333	354	0.49	0.51	0.5
14	STARCHIP_csm10_pGm2_May012019	3	263	99	435	0.38	0.73	0.5
15	TrinityFusion-D	2	225	24	473	0.32	0.9	0.472
16	JAFFA-Direct	3	428	711	270	0.61	0.38	0.468
17	JAFFA-Assembly	2	301	309	397	0.43	0.49	0.458
18	PRADA	3	193	21	505	0.28	0.9	0.427
19	PIZZLY	4	292	404	406	0.42	0.42	0.42
20	JAFFA-Hybrid	3	431	1829	267	0.62	0.19	0.291
21	ChimeraScan	8	183	559	515	0.26	0.25	0.255
22	deFuse	16	263	1157	435	0.38	0.19	0.253
23	FusionHunter	4	98	56	600	0.14	0.64	0.23
24	nFuse	15	247	1243	451	0.35	0.17	0.229
25	EricScript	20	177	1671	521	0.25	0.1	0.143
