prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	434	109	140	0.76	0.8	0.779	0.2
STARSEQR	2	476	301	98	0.83	0.61	0.703	0.39
ARRIBA_hc	3	392	158	182	0.68	0.71	0.695	0.29
ARRIBA	4	419	241	155	0.73	0.63	0.676	0.37
TrinityFusion-C	2	290	16	284	0.51	0.95	0.664	0.05
ChimPipe	3	282	8	292	0.49	0.97	0.651	0.03
TrinityFusion-UC	2	278	34	296	0.48	0.89	0.624	0.11
SOAP-fuse	6	250	56	324	0.44	0.82	0.573	0.18
FUSIONCATCHER_v1.10_June192019	7	338	327	236	0.59	0.51	0.547	0.49
MapSplice	3	321	282	253	0.56	0.53	0.545	0.47
TrinityFusion-D	2	222	24	352	0.39	0.9	0.544	0.1
STARCHIP_csm10_pGm2_May012019	4	241	81	333	0.42	0.75	0.538	0.25
InFusion	5	328	334	246	0.57	0.5	0.533	0.5
TopHat-Fusion	6	317	333	257	0.55	0.49	0.518	0.51
JAFFA-Assembly	3	283	296	291	0.49	0.49	0.49	0.51
PRADA	3	191	21	383	0.33	0.9	0.483	0.1
JAFFA-Direct	3	397	711	177	0.69	0.36	0.473	0.64
PIZZLY	4	269	404	305	0.47	0.4	0.432	0.6
JAFFA-Hybrid	7	301	1185	273	0.52	0.2	0.289	0.8
FusionHunter	5	96	56	478	0.17	0.63	0.268	0.37
ChimeraScan	9	151	435	423	0.26	0.26	0.26	0.74
deFuse	18	216	1018	358	0.38	0.18	0.244	0.82
nFuse	15	229	1243	345	0.4	0.16	0.229	0.84
EricScript	20	176	1671	398	0.31	0.1	0.151	0.9
