prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	420	109	70	0.86	0.79	0.824
2	ARRIBA_hc	3	381	158	109	0.78	0.71	0.743
3	TrinityFusion-C	2	284	16	206	0.58	0.95	0.72
4	ARRIBA	4	404	241	86	0.82	0.63	0.713
5	ARRIBA	5	366	173	124	0.75	0.68	0.713
6	STARSEQR	2	427	301	63	0.87	0.59	0.703
7	ChimPipe	3	271	8	219	0.55	0.97	0.702
8	TrinityFusion-UC	2	270	34	220	0.55	0.89	0.68
9	SOAP-fuse	6	253	58	237	0.52	0.81	0.633
10	TrinityFusion-D	2	222	24	268	0.45	0.9	0.6
11	MapSplice	3	315	283	175	0.64	0.53	0.58
12	STARCHIP_csm10_pGm2_May012019	4	230	82	260	0.47	0.74	0.575
13	FUSIONCATCHER_v1.10_June192019	7	330	328	160	0.67	0.5	0.573
14	InFusion	5	319	334	171	0.65	0.49	0.559
15	InFusion	7	282	237	208	0.58	0.54	0.559
16	TopHat-Fusion	6	302	339	188	0.62	0.47	0.535
17	PRADA	3	188	21	302	0.38	0.9	0.534
18	JAFFA-Assembly	3	274	297	216	0.56	0.48	0.517
19	JAFFA-Direct	3	375	716	115	0.77	0.34	0.472
20	PIZZLY	5	239	303	251	0.49	0.44	0.464
21	FusionHunter	3	96	58	394	0.2	0.62	0.302
22	JAFFA-Hybrid	7	290	1187	200	0.59	0.2	0.299
23	ChimeraScan	8	163	561	327	0.33	0.23	0.271
24	deFuse	20	196	911	294	0.4	0.18	0.248
25	nFuse	14	227	1328	263	0.46	0.15	0.226
26	EricScript	23	155	1472	335	0.32	0.1	0.152
