prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	5	336	171	61	0.85	0.66	0.743	0.34
TrinityFusion-C	3	246	49	151	0.62	0.83	0.71	0.17
TrinityFusion-UC	3	232	48	165	0.58	0.83	0.683	0.17
SOAP-fuse	6	240	105	157	0.6	0.7	0.646	0.3
ChimPipe	3	242	113	155	0.61	0.68	0.643	0.32
TrinityFusion-D	3	192	44	205	0.48	0.81	0.603	0.19
MapSplice	6	265	233	132	0.67	0.53	0.592	0.47
PRADA	3	184	56	213	0.46	0.77	0.576	0.23
ARRIBA_hc	5	294	325	103	0.74	0.47	0.575	0.53
FUSIONCATCHER_v1.10_June192019	9	276	350	121	0.7	0.44	0.54	0.56
InFusion	7	265	344	132	0.67	0.44	0.531	0.56
ARRIBA	6	296	440	101	0.75	0.4	0.522	0.6
STARSEQR	5	305	532	92	0.77	0.36	0.491	0.64
JAFFA-Assembly	8	215	275	182	0.54	0.44	0.485	0.56
TopHat-Fusion	7	262	475	135	0.66	0.36	0.466	0.64
STARCHIP_csm10_pGm2_May012019	4	204	334	193	0.51	0.38	0.436	0.62
JAFFA-Direct	5	271	575	126	0.68	0.32	0.435	0.68
PIZZLY	5	229	569	168	0.58	0.29	0.387	0.71
FusionHunter	6	90	62	307	0.23	0.59	0.331	0.41
JAFFA-Hybrid	9	241	1058	156	0.61	0.19	0.29	0.81
ChimeraScan	20	80	135	317	0.2	0.37	0.26	0.63
deFuse	19	193	1205	204	0.49	0.14	0.218	0.86
nFuse	24	140	892	257	0.35	0.14	0.2	0.86
EricScript	20	170	1811	227	0.43	0.09	0.149	0.91
