prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	5	336	171	61	0.85	0.66	0.743
2	TrinityFusion-C	3	246	49	151	0.62	0.83	0.71
3	TrinityFusion-UC	3	232	48	165	0.58	0.83	0.683
4	SOAP-fuse	6	240	105	157	0.6	0.7	0.646
5	ChimPipe	3	242	113	155	0.61	0.68	0.643
6	TrinityFusion-D	3	192	44	205	0.48	0.81	0.603
7	MapSplice	6	265	233	132	0.67	0.53	0.592
8	PRADA	3	184	56	213	0.46	0.77	0.576
9	ARRIBA_hc	5	294	325	103	0.74	0.47	0.575
10	FUSIONCATCHER_v1.10_June192019	9	276	350	121	0.7	0.44	0.54
11	InFusion	7	265	344	132	0.67	0.44	0.531
12	ARRIBA	6	296	440	101	0.75	0.4	0.522
13	STARSEQR	5	305	532	92	0.77	0.36	0.491
14	JAFFA-Assembly	8	215	275	182	0.54	0.44	0.485
15	TopHat-Fusion	7	262	475	135	0.66	0.36	0.466
16	STARCHIP_csm10_pGm2_May012019	4	204	334	193	0.51	0.38	0.436
17	JAFFA-Direct	5	271	575	126	0.68	0.32	0.435
18	PIZZLY	5	229	569	168	0.58	0.29	0.387
19	FusionHunter	5	92	64	305	0.23	0.59	0.331
20	FusionHunter	6	90	62	307	0.23	0.59	0.331
21	JAFFA-Hybrid	9	241	1058	156	0.61	0.19	0.29
22	ChimeraScan	18	82	161	315	0.21	0.34	0.26
23	ChimeraScan	20	80	135	317	0.2	0.37	0.26
24	deFuse	19	193	1205	204	0.49	0.14	0.218
25	nFuse	24	140	892	257	0.35	0.14	0.2
26	EricScript	20	170	1811	227	0.43	0.09	0.149
