progname	min_thresh	ignoreUnsure	okpara	auc
STAR_FUSION_v1.5	10	1	0	0.88
ARRIBA_hc	10	1	0	0.75
ARRIBA	10	1	0	0.74
TrinityFusion-C	10	1	0	0.67
ChimPipe	10	1	0	0.64
SOAP-fuse	10	1	0	0.62
TrinityFusion-UC	10	1	0	0.61
FUSIONCATCHER_v1.10_June192019	10	1	0	0.60
STARSEQR	10	1	0	0.60
MapSplice	10	1	0	0.57
InFusion	10	1	0	0.55
STARCHIP_csm10_pGm2_May012019	10	1	0	0.49
PRADA	10	1	0	0.48
TrinityFusion-D	10	1	0	0.48
PIZZLY	10	1	0	0.44
TopHat-Fusion	10	1	0	0.38
JAFFA-Direct	10	1	0	0.34
JAFFA-Assembly	10	1	0	0.32
ChimeraScan	10	1	0	0.22
FusionHunter	10	1	0	0.21
JAFFA-Hybrid	10	1	0	0.18
deFuse	10	1	0	0.12
nFuse	10	1	0	0.12
EricScript	10	1	0	0.06
STAR_FUSION_v1.5	10	1	1	0.87
ARRIBA_hc	10	1	1	0.74
ARRIBA	10	1	1	0.73
TrinityFusion-C	10	1	1	0.65
ChimPipe	10	1	1	0.64
SOAP-fuse	10	1	1	0.61
TrinityFusion-UC	10	1	1	0.61
STARSEQR	10	1	1	0.60
FUSIONCATCHER_v1.10_June192019	10	1	1	0.59
MapSplice	10	1	1	0.57
InFusion	10	1	1	0.54
PRADA	10	1	1	0.48
STARCHIP_csm10_pGm2_May012019	10	1	1	0.48
TrinityFusion-D	10	1	1	0.47
PIZZLY	10	1	1	0.43
TopHat-Fusion	10	1	1	0.38
JAFFA-Direct	10	1	1	0.34
JAFFA-Assembly	10	1	1	0.31
ChimeraScan	10	1	1	0.22
FusionHunter	10	1	1	0.22
JAFFA-Hybrid	10	1	1	0.18
deFuse	10	1	1	0.12
nFuse	10	1	1	0.12
EricScript	10	1	1	0.06
STAR_FUSION_v1.5	10	0	0	0.72
TrinityFusion-C	10	0	0	0.61
MapSplice	10	0	0	0.56
SOAP-fuse	10	0	0	0.56
TrinityFusion-UC	10	0	0	0.55
FUSIONCATCHER_v1.10_June192019	10	0	0	0.53
ChimPipe	10	0	0	0.51
ARRIBA_hc	10	0	0	0.46
InFusion	10	0	0	0.45
TrinityFusion-D	10	0	0	0.44
ARRIBA	10	0	0	0.42
PRADA	10	0	0	0.38
STARSEQR	10	0	0	0.36
JAFFA-Direct	10	0	0	0.30
TopHat-Fusion	10	0	0	0.30
PIZZLY	10	0	0	0.28
JAFFA-Assembly	10	0	0	0.27
STARCHIP_csm10_pGm2_May012019	10	0	0	0.26
FusionHunter	10	0	0	0.20
ChimeraScan	10	0	0	0.18
JAFFA-Hybrid	10	0	0	0.16
deFuse	10	0	0	0.10
nFuse	10	0	0	0.10
EricScript	10	0	0	0.06
STAR_FUSION_v1.5	10	0	1	0.73
TrinityFusion-C	10	0	1	0.60
TrinityFusion-UC	10	0	1	0.57
MapSplice	10	0	1	0.56
SOAP-fuse	10	0	1	0.56
FUSIONCATCHER_v1.10_June192019	10	0	1	0.54
ChimPipe	10	0	1	0.51
ARRIBA_hc	10	0	1	0.45
InFusion	10	0	1	0.45
TrinityFusion-D	10	0	1	0.45
ARRIBA	10	0	1	0.42
PRADA	10	0	1	0.38
STARSEQR	10	0	1	0.37
TopHat-Fusion	10	0	1	0.31
JAFFA-Direct	10	0	1	0.30
JAFFA-Assembly	10	0	1	0.27
PIZZLY	10	0	1	0.27
STARCHIP_csm10_pGm2_May012019	10	0	1	0.26
FusionHunter	10	0	1	0.21
ChimeraScan	10	0	1	0.18
JAFFA-Hybrid	10	0	1	0.17
deFuse	10	0	1	0.10
nFuse	10	0	1	0.10
EricScript	10	0	1	0.06
ARRIBA	3	1	1	0.26
STAR_FUSION_v1.5	3	1	1	0.25
ARRIBA_hc	3	1	1	0.22
STARSEQR	3	1	1	0.21
STARCHIP_csm10_pGm2_May012019	3	1	1	0.17
ChimPipe	3	1	1	0.16
FUSIONCATCHER_v1.10_June192019	3	1	1	0.16
InFusion	3	1	1	0.15
TopHat-Fusion	3	1	1	0.15
PIZZLY	3	1	1	0.13
SOAP-fuse	3	1	1	0.13
TrinityFusion-C	3	1	1	0.13
MapSplice	3	1	1	0.12
TrinityFusion-UC	3	1	1	0.12
JAFFA-Direct	3	1	1	0.10
PRADA	3	1	1	0.10
JAFFA-Assembly	3	1	1	0.09
TrinityFusion-D	3	1	1	0.09
ChimeraScan	3	1	1	0.07
JAFFA-Hybrid	3	1	1	0.06
deFuse	3	1	1	0.06
nFuse	3	1	1	0.06
FusionHunter	3	1	1	0.04
EricScript	3	1	1	0.02
STAR_FUSION_v1.5	3	0	0	0.24
ARRIBA	3	0	0	0.23
ARRIBA_hc	3	0	0	0.21
STARSEQR	3	0	0	0.18
ChimPipe	3	0	0	0.15
FUSIONCATCHER_v1.10_June192019	3	0	0	0.15
STARCHIP_csm10_pGm2_May012019	3	0	0	0.15
InFusion	3	0	0	0.14
TopHat-Fusion	3	0	0	0.14
SOAP-fuse	3	0	0	0.13
TrinityFusion-C	3	0	0	0.13
MapSplice	3	0	0	0.12
TrinityFusion-UC	3	0	0	0.12
PIZZLY	3	0	0	0.11
TrinityFusion-D	3	0	0	0.10
JAFFA-Assembly	3	0	0	0.09
JAFFA-Direct	3	0	0	0.09
PRADA	3	0	0	0.09
ChimeraScan	3	0	0	0.07
JAFFA-Hybrid	3	0	0	0.06
deFuse	3	0	0	0.05
nFuse	3	0	0	0.05
FusionHunter	3	0	0	0.04
EricScript	3	0	0	0.02
ARRIBA	3	1	0	0.27
STAR_FUSION_v1.5	3	1	0	0.25
ARRIBA_hc	3	1	0	0.24
STARSEQR	3	1	0	0.21
STARCHIP_csm10_pGm2_May012019	3	1	0	0.17
ChimPipe	3	1	0	0.16
FUSIONCATCHER_v1.10_June192019	3	1	0	0.16
InFusion	3	1	0	0.15
TopHat-Fusion	3	1	0	0.15
TrinityFusion-C	3	1	0	0.14
PIZZLY	3	1	0	0.13
SOAP-fuse	3	1	0	0.13
MapSplice	3	1	0	0.12
TrinityFusion-UC	3	1	0	0.12
JAFFA-Direct	3	1	0	0.10
PRADA	3	1	0	0.10
TrinityFusion-D	3	1	0	0.10
JAFFA-Assembly	3	1	0	0.09
ChimeraScan	3	1	0	0.07
JAFFA-Hybrid	3	1	0	0.06
deFuse	3	1	0	0.06
nFuse	3	1	0	0.06
FusionHunter	3	1	0	0.04
EricScript	3	1	0	0.02
STAR_FUSION_v1.5	3	0	1	0.24
ARRIBA	3	0	1	0.22
ARRIBA_hc	3	0	1	0.20
STARSEQR	3	0	1	0.18
ChimPipe	3	0	1	0.15
FUSIONCATCHER_v1.10_June192019	3	0	1	0.15
STARCHIP_csm10_pGm2_May012019	3	0	1	0.15
InFusion	3	0	1	0.14
TopHat-Fusion	3	0	1	0.14
TrinityFusion-C	3	0	1	0.13
MapSplice	3	0	1	0.12
SOAP-fuse	3	0	1	0.12
TrinityFusion-UC	3	0	1	0.12
PIZZLY	3	0	1	0.11
JAFFA-Direct	3	0	1	0.10
