prog	rankval	mt	iu	okp	auc
1	STAR_FUSION_v1.5	1	3	0	0	0.24
2	STAR_FUSION_v1.5	1	3	0	1	0.24
3	STAR_FUSION_v1.5	2	3	1	0	0.25
4	STAR_FUSION_v1.5	2	3	1	1	0.25
5	STAR_FUSION_v1.5	1	4	0	0	0.5
6	STAR_FUSION_v1.5	1	4	0	1	0.49
7	STAR_FUSION_v1.5	1	4	1	0	0.53
8	STAR_FUSION_v1.5	1	4	1	1	0.51
9	STAR_FUSION_v1.5	1	5	0	0	0.62
10	STAR_FUSION_v1.5	1	5	0	1	0.61
11	STAR_FUSION_v1.5	1	5	1	0	0.67
12	STAR_FUSION_v1.5	1	5	1	1	0.65
13	STAR_FUSION_v1.5	1	6	0	0	0.71
14	STAR_FUSION_v1.5	1	6	0	1	0.71
15	STAR_FUSION_v1.5	1	6	1	0	0.78
16	STAR_FUSION_v1.5	1	6	1	1	0.76
17	STAR_FUSION_v1.5	1	7	0	0	0.75
18	STAR_FUSION_v1.5	1	7	0	1	0.76
19	STAR_FUSION_v1.5	1	7	1	0	0.84
20	STAR_FUSION_v1.5	1	7	1	1	0.82
21	STAR_FUSION_v1.5	1	8	0	0	0.74
22	STAR_FUSION_v1.5	1	8	0	1	0.76
23	STAR_FUSION_v1.5	1	8	1	0	0.87
24	STAR_FUSION_v1.5	1	8	1	1	0.86
25	STAR_FUSION_v1.5	1	9	0	0	0.74
26	STAR_FUSION_v1.5	1	9	0	1	0.75
27	STAR_FUSION_v1.5	1	9	1	0	0.88
28	STAR_FUSION_v1.5	1	9	1	1	0.87
29	STAR_FUSION_v1.5	1	10	0	0	0.72
30	STAR_FUSION_v1.5	1	10	0	1	0.73
31	STAR_FUSION_v1.5	1	10	1	0	0.88
32	STAR_FUSION_v1.5	1	10	1	1	0.87
33	ARRIBA	2	3	0	0	0.23
34	ARRIBA	2	3	0	1	0.22
35	ARRIBA	1	3	1	0	0.27
36	ARRIBA	1	3	1	1	0.26
37	ARRIBA	2	4	0	0	0.35
38	ARRIBA	2	4	0	1	0.33
39	ARRIBA	2	4	1	0	0.49
40	ARRIBA	2	4	1	1	0.47
41	ARRIBA	3	5	0	0	0.39
42	ARRIBA	3	5	0	1	0.37
43	ARRIBA	2	5	1	0	0.58
44	ARRIBA	2	5	1	1	0.56
45	ARRIBA	4	6	0	0	0.42
46	ARRIBA	7	6	0	1	0.4
47	ARRIBA	2	6	1	0	0.66
48	ARRIBA	2	6	1	1	0.63
49	ARRIBA	8	7	0	0	0.44
50	ARRIBA	9	7	0	1	0.42
51	ARRIBA	2	7	1	0	0.7
52	ARRIBA	2	7	1	1	0.68
53	ARRIBA	9	8	0	0	0.44
54	ARRIBA	9	8	0	1	0.43
55	ARRIBA	2	8	1	0	0.73
56	ARRIBA	2	8	1	1	0.71
57	ARRIBA	10	9	0	0	0.43
58	ARRIBA	10	9	0	1	0.43
59	ARRIBA	2	9	1	0	0.73
60	ARRIBA	2	9	1	1	0.72
61	ARRIBA	11	10	0	0	0.42
62	ARRIBA	11	10	0	1	0.42
63	ARRIBA	3	10	1	0	0.74
64	ARRIBA	3	10	1	1	0.73
65	ARRIBA_hc	3	3	0	0	0.21
66	ARRIBA_hc	3	3	0	1	0.2
67	ARRIBA_hc	3	3	1	0	0.24
68	ARRIBA_hc	3	3	1	1	0.22
69	ARRIBA_hc	3	4	0	0	0.33
70	ARRIBA_hc	4	4	0	1	0.32
71	ARRIBA_hc	3	4	1	0	0.45
72	ARRIBA_hc	3	4	1	1	0.43
73	ARRIBA_hc	4	5	0	0	0.38
74	ARRIBA_hc	5	5	0	1	0.36
75	ARRIBA_hc	3	5	1	0	0.54
76	ARRIBA_hc	3	5	1	1	0.52
77	ARRIBA_hc	8	6	0	0	0.41
78	ARRIBA_hc	8	6	0	1	0.39
79	ARRIBA_hc	3	6	1	0	0.62
80	ARRIBA_hc	3	6	1	1	0.59
81	ARRIBA_hc	9	7	0	0	0.44
82	ARRIBA_hc	8	7	0	1	0.43
83	ARRIBA_hc	3	7	1	0	0.67
84	ARRIBA_hc	3	7	1	1	0.65
85	ARRIBA_hc	8	8	0	0	0.45
86	ARRIBA_hc	8	8	0	1	0.44
87	ARRIBA_hc	3	8	1	0	0.71
88	ARRIBA_hc	3	8	1	1	0.69
89	ARRIBA_hc	8	9	0	0	0.46
90	ARRIBA_hc	8	9	0	1	0.45
91	ARRIBA_hc	3	9	1	0	0.73
92	ARRIBA_hc	3	9	1	1	0.71
93	ARRIBA_hc	8	10	0	0	0.46
94	ARRIBA_hc	8	10	0	1	0.45
95	ARRIBA_hc	2	10	1	0	0.75
96	ARRIBA_hc	2	10	1	1	0.74
97	STARSEQR	4	3	0	0	0.18
98	STARSEQR	4	3	0	1	0.18
99	STARSEQR	4	3	1	0	0.21
100	STARSEQR	4	3	1	1	0.21
101	STARSEQR	10	4	0	0	0.26
102	STARSEQR	10	4	0	1	0.26
103	STARSEQR	4	4	1	0	0.36
104	STARSEQR	4	4	1	1	0.36
105	STARSEQR	11	5	0	0	0.3
106	STARSEQR	11	5	0	1	0.31
107	STARSEQR	4	5	1	0	0.44
108	STARSEQR	4	5	1	1	0.45
109	STARSEQR	11	6	0	0	0.33
110	STARSEQR	11	6	0	1	0.34
111	STARSEQR	4	6	1	0	0.5
112	STARSEQR	4	6	1	1	0.51
113	STARSEQR	12	7	0	0	0.35
114	STARSEQR	12	7	0	1	0.37
115	STARSEQR	5	7	1	0	0.55
116	STARSEQR	4	7	1	1	0.56
117	STARSEQR	12	8	0	0	0.36
118	STARSEQR	12	8	0	1	0.37
119	STARSEQR	6	8	1	0	0.57
120	STARSEQR	5	8	1	1	0.58
121	STARSEQR	12	9	0	0	0.37
122	STARSEQR	12	9	0	1	0.38
123	STARSEQR	6	9	1	0	0.59
124	STARSEQR	6	9	1	1	0.59
125	STARSEQR	13	10	0	0	0.36
126	STARSEQR	13	10	0	1	0.37
127	STARSEQR	9	10	1	0	0.6
128	STARSEQR	8	10	1	1	0.6
