prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
3.1	STAR_FUSION_v1.5	2	851	270	1278	0.4	0.76	0.524	3
3.2	STARSEQR	1	818	341	1311	0.38	0.71	0.495	3
3.3	ARRIBA	1	856	608	1273	0.4	0.58	0.473	3
3.4	ARRIBA_hc	2	593	217	1536	0.28	0.73	0.405	3
3.5	TopHat-Fusion	3	600	807	1529	0.28	0.43	0.339	3
3.6	JAFFA-Direct	2	634	1059	1495	0.3	0.37	0.331	3
3.7	FUSIONCATCHER_v1.10_June192019	3	534	597	1595	0.25	0.47	0.326	3
3.8	JAFFA-Assembly	1	447	343	1682	0.21	0.57	0.307	3
3.9	STARCHIP_csm10_pGm2_May012019	3	394	100	1735	0.19	0.8	0.307	3
3.10	TrinityFusion-C	2	382	16	1747	0.18	0.96	0.303	3
3.11	InFusion	4	436	429	1693	0.2	0.5	0.286	3
3.12	PIZZLY	3	467	724	1662	0.22	0.39	0.281	3
3.13	ChimPipe	3	340	8	1789	0.16	0.98	0.275	3
3.14	JAFFA-Hybrid	2	683	2182	1446	0.32	0.24	0.274	3
3.15	TrinityFusion-UC	2	349	34	1780	0.16	0.91	0.272	3
3.16	MapSplice	3	358	283	1771	0.17	0.56	0.261	3
3.17	SOAP-fuse	2	314	134	1815	0.15	0.7	0.247	3
3.18	deFuse	6	481	1792	1648	0.23	0.21	0.22	3
3.19	deFuse	9	468	1693	1661	0.22	0.22	0.22	3
3.20	TrinityFusion-D	2	249	24	1880	0.12	0.91	0.212	3
3.21	nFuse	9	445	2085	1684	0.21	0.18	0.194	3
3.22	PRADA	3	213	21	1916	0.1	0.91	0.18	3
3.23	ChimeraScan	4	394	2087	1735	0.19	0.16	0.174	3
3.24	EricScript	16	250	2114	1879	0.12	0.11	0.115	3
3.25	FusionHunter	3	100	58	2029	0.05	0.63	0.093	3
3.26	FusionHunter	4	99	56	2030	0.05	0.64	0.093	3
3.27	FusionHunter	5	97	56	2032	0.05	0.63	0.093	3
4.1	STAR_FUSION_v1.5	2	716	270	237	0.75	0.73	0.74	4
4.2	STARSEQR	2	603	301	350	0.63	0.67	0.649	4
4.3	ARRIBA	1	696	608	257	0.73	0.53	0.614	4
4.4	ARRIBA_hc	2	509	217	444	0.53	0.7	0.603	4
4.5	TrinityFusion-C	2	349	16	604	0.37	0.96	0.534	4
4.6	ChimPipe	3	330	8	623	0.35	0.98	0.516	4
4.7	TrinityFusion-UC	2	326	34	627	0.34	0.91	0.495	4
4.8	FUSIONCATCHER_v1.10_June192019	4	468	563	485	0.49	0.45	0.469	4
4.9	TopHat-Fusion	5	409	396	544	0.43	0.51	0.467	4
4.10	InFusion	5	395	334	558	0.41	0.54	0.466	4
4.11	STARCHIP_csm10_pGm2_May012019	4	302	82	651	0.32	0.79	0.455	4
