prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
3.1	STAR_FUSION_v1.5	2	822	268	1307	0.39	0.75	0.513	3
3.2	STARSEQR	1	817	340	1312	0.38	0.71	0.495	3
3.3	ARRIBA	1	822	608	1307	0.39	0.57	0.463	3
3.4	ARRIBA_hc	2	567	217	1562	0.27	0.72	0.393	3
3.5	TopHat-Fusion	3	594	795	1535	0.28	0.43	0.339	3
3.6	JAFFA-Direct	2	631	1050	1498	0.3	0.38	0.335	3
3.7	FUSIONCATCHER_v1.10_June192019	3	531	593	1598	0.25	0.47	0.326	3
3.8	JAFFA-Assembly	1	445	342	1684	0.21	0.57	0.307	3
3.9	STARCHIP_csm10_pGm2_May012019	4	382	81	1747	0.18	0.83	0.296	3
3.10	TrinityFusion-C	2	363	16	1766	0.17	0.96	0.289	3
3.11	InFusion	4	431	428	1698	0.2	0.5	0.286	3
3.12	ChimPipe	3	338	8	1791	0.16	0.98	0.275	3
3.13	JAFFA-Hybrid	2	682	2175	1447	0.32	0.24	0.274	3
3.14	PIZZLY	3	456	711	1673	0.21	0.39	0.273	3
3.15	TrinityFusion-UC	2	332	33	1797	0.16	0.91	0.272	3
3.16	MapSplice	3	358	282	1771	0.17	0.56	0.261	3
3.17	SOAP-fuse	2	301	130	1828	0.14	0.7	0.233	3
3.18	SOAP-fuse	3	294	128	1835	0.14	0.7	0.233	3
3.19	deFuse	6	483	1788	1646	0.23	0.21	0.22	3
3.20	deFuse	7	481	1772	1648	0.23	0.21	0.22	3
3.21	deFuse	8	476	1734	1653	0.22	0.22	0.22	3
3.22	deFuse	9	470	1689	1659	0.22	0.22	0.22	3
3.23	TrinityFusion-D	2	239	24	1890	0.11	0.91	0.196	3
3.24	nFuse	6	529	2862	1600	0.25	0.16	0.195	3
3.25	nFuse	10	426	1870	1703	0.2	0.19	0.195	3
3.26	nFuse	11	414	1693	1715	0.19	0.2	0.195	3
3.27	nFuse	12	395	1552	1734	0.19	0.2	0.195	3
3.28	PRADA	3	213	21	1916	0.1	0.91	0.18	3
3.29	ChimeraScan	5	319	1309	1810	0.15	0.2	0.171	3
3.30	EricScript	16	254	2111	1875	0.12	0.11	0.115	3
