sample	prog	time_h
G20476.DMS_454.2	1core	1.98
G20476.DMS_454.2	2core	1.23
G20476.DMS_454.2	5core	1.01
G20476.DMS_454.2	10core	0.82
G20495.786-O.2	1core	2.01
G20495.786-O.2	2core	1.03
G20495.786-O.2	5core	0.53
G20495.786-O.2	10core	0.36
G20498.KYSE-180.2	1core	1.75
G20498.KYSE-180.2	2core	0.97
G20498.KYSE-180.2	5core	0.54
G20498.KYSE-180.2	10core	0.51
G20500.IGR-37.2	1core	1.78
G20500.IGR-37.2	2core	1.01
G20500.IGR-37.2	5core	0.55
G20500.IGR-37.2	10core	0.52
G25214.MKN7.1	1core	1.83
G25214.MKN7.1	2core	1.06
G25214.MKN7.1	5core	0.63
G25214.MKN7.1	10core	0.63
G25225.NCI-H522.1	1core	1.81
G25225.NCI-H522.1	2core	1.02
G25225.NCI-H522.1	5core	0.60
G25225.NCI-H522.1	10core	0.46
G26175.A172.2	1core	1.90
G26175.A172.2	2core	1.06
G26175.A172.2	5core	0.56
G26175.A172.2	10core	0.52
G26182.KMS-12-BM.2	1core	1.95
G26182.KMS-12-BM.2	2core	1.07
G26182.KMS-12-BM.2	5core	0.67
G26182.KMS-12-BM.2	10core	0.43
G26199.LN-229.2	1core	1.88
G26199.LN-229.2	2core	1.06
G26199.LN-229.2	5core	0.55
G26199.LN-229.2	10core	0.39
G26212.A-673.2	1core	1.93
G26212.A-673.2	2core	1.07
G26212.A-673.2	5core	0.56
G26212.A-673.2	10core	0.57
