sample	prog	time_h
G20476.DMS_454.2	TOPHAT_FUSION	22.21
G20476.DMS_454.2	SOAP_FUSE	21.68
G20476.DMS_454.2	CHIMERASCAN	23.86
G20476.DMS_454.2	PRADA	18.15
G20476.DMS_454.2	DEFUSE	26.11
G20476.DMS_454.2	ERICSCRIPT	11.37
G20476.DMS_454.2	FUSION_CATCHER_V0994e	5.32
G20476.DMS_454.2	MAPSPLICE	22.06
G20476.DMS_454.2	FUSIONHUNTER	8.47
G20476.DMS_454.2	NFUSE	9.75
G20476.DMS_454.2	JAFFA_ASSEMBLY	16.85
G20476.DMS_454.2	JAFFA_HYBRID	56.44
G20476.DMS_454.2	JAFFA_DIRECT	9.29
G20476.DMS_454.2	INFUSION_CF3	54.82
G20476.DMS_454.2	CHIMPIPE	18.25
G20476.DMS_454.2	ARRIBA	0.93
G20476.DMS_454.2	PIZZLY	0.45
G20476.DMS_454.2	STAR_FUSION_v1.5_hg19_Apr042019	2.41
G20476.DMS_454.2	STARCHIP	0.77
G20476.DMS_454.2	STARSEQR	1.62
G20476.DMS_454.2	TRINITY_FUSION_C_hg19	35.91
G20476.DMS_454.2	TRINITY_FUSION_hg19_Apr092019	61.46
G20476.DMS_454.2	TRINITY_FUSION_D_hg19	72.19
G20476.DMS_454.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G20495.786-O.2	TOPHAT_FUSION	20.45
G20495.786-O.2	SOAP_FUSE	18.26
G20495.786-O.2	CHIMERASCAN	24.26
G20495.786-O.2	PRADA	11.52
G20495.786-O.2	DEFUSE	19.39
G20495.786-O.2	ERICSCRIPT	6.40
G20495.786-O.2	FUSION_CATCHER_V0994e	7.54
G20495.786-O.2	MAPSPLICE	36.47
G20495.786-O.2	FUSIONHUNTER	13.87
G20495.786-O.2	NFUSE	8.01
G20495.786-O.2	JAFFA_ASSEMBLY	21.53
G20495.786-O.2	JAFFA_HYBRID	69.11
G20495.786-O.2	JAFFA_DIRECT	7.51
G20495.786-O.2	INFUSION_CF3	51.39
G20495.786-O.2	CHIMPIPE	23.06
G20495.786-O.2	ARRIBA	0.98
G20495.786-O.2	PIZZLY	0.61
G20495.786-O.2	STAR_FUSION_v1.5_hg19_Apr042019	2.45
G20495.786-O.2	STARCHIP	0.77
G20495.786-O.2	STARSEQR	1.55
G20495.786-O.2	TRINITY_FUSION_C_hg19	25.43
G20495.786-O.2	TRINITY_FUSION_hg19_Apr092019	59.77
G20495.786-O.2	TRINITY_FUSION_D_hg19	61.20
G20495.786-O.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.06
G20498.KYSE-180.2	TOPHAT_FUSION	22.80
G20498.KYSE-180.2	SOAP_FUSE	27.53
G20498.KYSE-180.2	CHIMERASCAN	22.95
G20498.KYSE-180.2	PRADA	11.57
G20498.KYSE-180.2	DEFUSE	17.35
G20498.KYSE-180.2	ERICSCRIPT	8.68
G20498.KYSE-180.2	FUSION_CATCHER_V0994e	4.95
G20498.KYSE-180.2	MAPSPLICE	42.90
G20498.KYSE-180.2	FUSIONHUNTER	15.06
G20498.KYSE-180.2	NFUSE	7.59
G20498.KYSE-180.2	JAFFA_ASSEMBLY	18.08
G20498.KYSE-180.2	JAFFA_HYBRID	59.96
G20498.KYSE-180.2	JAFFA_DIRECT	10.39
G20498.KYSE-180.2	INFUSION_CF3	52.51
G20498.KYSE-180.2	CHIMPIPE	25.47
G20498.KYSE-180.2	ARRIBA	0.90
G20498.KYSE-180.2	PIZZLY	0.59
G20498.KYSE-180.2	STAR_FUSION_v1.5_hg19_Apr042019	2.32
G20498.KYSE-180.2	STARCHIP	0.76
G20498.KYSE-180.2	STARSEQR	1.50
G20498.KYSE-180.2	TRINITY_FUSION_C_hg19	28.63
G20498.KYSE-180.2	TRINITY_FUSION_hg19_Apr092019	57.32
G20498.KYSE-180.2	TRINITY_FUSION_D_hg19	74.94
G20498.KYSE-180.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.06
G20500.IGR-37.2	TOPHAT_FUSION	24.26
G20500.IGR-37.2	SOAP_FUSE	32.36
G20500.IGR-37.2	CHIMERASCAN	23.95
G20500.IGR-37.2	PRADA	11.66
G20500.IGR-37.2	DEFUSE	15.86
G20500.IGR-37.2	ERICSCRIPT	8.87
G20500.IGR-37.2	FUSION_CATCHER_V0994e	4.65
G20500.IGR-37.2	MAPSPLICE	38.24
G20500.IGR-37.2	FUSIONHUNTER	8.78
G20500.IGR-37.2	NFUSE	7.28
G20500.IGR-37.2	JAFFA_ASSEMBLY	14.29
G20500.IGR-37.2	JAFFA_HYBRID	NA
G20500.IGR-37.2	JAFFA_DIRECT	17.90
G20500.IGR-37.2	INFUSION_CF3	57.19
G20500.IGR-37.2	CHIMPIPE	24.52
G20500.IGR-37.2	ARRIBA	0.99
G20500.IGR-37.2	PIZZLY	0.51
G20500.IGR-37.2	STAR_FUSION_v1.5_hg19_Apr042019	2.59
G20500.IGR-37.2	STARCHIP	0.86
G20500.IGR-37.2	STARSEQR	1.80
G20500.IGR-37.2	TRINITY_FUSION_C_hg19	35.28
G20500.IGR-37.2	TRINITY_FUSION_hg19_Apr092019	54.30
G20500.IGR-37.2	TRINITY_FUSION_D_hg19	60.09
G20500.IGR-37.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.06
G25214.MKN7.1	TOPHAT_FUSION	31.63
G25214.MKN7.1	SOAP_FUSE	23.88
G25214.MKN7.1	CHIMERASCAN	28.10
G25214.MKN7.1	PRADA	11.66
G25214.MKN7.1	DEFUSE	24.42
G25214.MKN7.1	ERICSCRIPT	8.32
G25214.MKN7.1	FUSION_CATCHER_V0994e	5.47
G25214.MKN7.1	MAPSPLICE	22.94
G25214.MKN7.1	FUSIONHUNTER	9.46
G25214.MKN7.1	NFUSE	9.77
G25214.MKN7.1	JAFFA_ASSEMBLY	21.21
G25214.MKN7.1	JAFFA_HYBRID	66.88
G25214.MKN7.1	JAFFA_DIRECT	11.19
G25214.MKN7.1	INFUSION_CF3	55.44
G25214.MKN7.1	CHIMPIPE	24.40
G25214.MKN7.1	ARRIBA	1.08
G25214.MKN7.1	PIZZLY	0.64
G25214.MKN7.1	STAR_FUSION_v1.5_hg19_Apr042019	2.64
G25214.MKN7.1	STARCHIP	0.83
G25214.MKN7.1	STARSEQR	2.59
G25214.MKN7.1	TRINITY_FUSION_C_hg19	43.40
G25214.MKN7.1	TRINITY_FUSION_hg19_Apr092019	182.69
G25214.MKN7.1	TRINITY_FUSION_D_hg19	57.29
G25214.MKN7.1	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.07
G25225.NCI-H522.1	TOPHAT_FUSION	27.87
G25225.NCI-H522.1	SOAP_FUSE	47.34
G25225.NCI-H522.1	CHIMERASCAN	25.80
G25225.NCI-H522.1	PRADA	11.91
G25225.NCI-H522.1	DEFUSE	26.32
G25225.NCI-H522.1	ERICSCRIPT	8.03
G25225.NCI-H522.1	FUSION_CATCHER_V0994e	5.71
