STARSEQR	0.89
ARRIBA	0.88
ChimeraScan	0.84
JAFFA-Direct	0.84
STAR_FUSION_v1.5	0.84
PIZZLY	0.83
nFuse	0.82
TopHat-Fusion	0.80
deFuse	0.78
ARRIBA_hc	0.77
FUSIONCATCHER_v1.10_June192019	0.76
InFusion	0.75
MapSplice	0.73
STARCHIP_csm10_pGm2_May012019	0.72
JAFFA-Hybrid	0.71
TrinityFusion-C	0.71
SOAP-fuse	0.68
EricScript	0.66
TrinityFusion-UC	0.66
JAFFA-Assembly	0.64
ChimPipe	0.56
PRADA	0.55
TrinityFusion-D	0.40
FusionHunter	0.36
ARRIBA	0.96
STARSEQR	0.96
STAR_FUSION_v1.5	0.95
PIZZLY	0.93
nFuse	0.89
ChimPipe	0.88
FUSIONCATCHER_v1.10_June192019	0.87
InFusion	0.87
TopHat-Fusion	0.87
ChimeraScan	0.86
ARRIBA_hc	0.85
JAFFA-Direct	0.85
STARCHIP_csm10_pGm2_May012019	0.85
deFuse	0.85
MapSplice	0.84
TrinityFusion-C	0.81
TrinityFusion-UC	0.81
SOAP-fuse	0.78
JAFFA-Hybrid	0.76
EricScript	0.73
PRADA	0.73
JAFFA-Assembly	0.63
FusionHunter	0.51
TrinityFusion-D	0.46
ARRIBA	0.94
STARSEQR	0.93
STAR_FUSION_v1.5	0.92
PIZZLY	0.90
JAFFA-Direct	0.88
TopHat-Fusion	0.86
nFuse	0.86
ChimeraScan	0.85
InFusion	0.84
STARCHIP_csm10_pGm2_May012019	0.84
FUSIONCATCHER_v1.10_June192019	0.83
deFuse	0.83
ChimPipe	0.82
ARRIBA_hc	0.81
TrinityFusion-C	0.79
MapSplice	0.78
TrinityFusion-UC	0.76
JAFFA-Hybrid	0.74
EricScript	0.69
PRADA	0.67
JAFFA-Assembly	0.66
SOAP-fuse	0.65
FusionHunter	0.44
TrinityFusion-D	0.42
STARSEQR	0.93
ARRIBA	0.92
STAR_FUSION_v1.5	0.91
PIZZLY	0.90
ChimeraScan	0.87
JAFFA-Direct	0.86
TopHat-Fusion	0.86
nFuse	0.83
ARRIBA_hc	0.82
ChimPipe	0.82
FUSIONCATCHER_v1.10_June192019	0.82
InFusion	0.80
deFuse	0.80
STARCHIP_csm10_pGm2_May012019	0.78
MapSplice	0.77
TrinityFusion-C	0.77
TrinityFusion-UC	0.75
SOAP-fuse	0.73
EricScript	0.70
JAFFA-Hybrid	0.68
PRADA	0.65
JAFFA-Assembly	0.64
TrinityFusion-D	0.45
FusionHunter	0.44
STARSEQR	0.94
ARRIBA	0.93
STAR_FUSION_v1.5	0.93
PIZZLY	0.92
InFusion	0.85
nFuse	0.85
FUSIONCATCHER_v1.10_June192019	0.83
ChimPipe	0.82
ChimeraScan	0.82
JAFFA-Direct	0.82
TopHat-Fusion	0.82
STARCHIP_csm10_pGm2_May012019	0.81
TrinityFusion-C	0.81
MapSplice	0.80
deFuse	0.80
ARRIBA_hc	0.79
TrinityFusion-UC	0.78
JAFFA-Hybrid	0.74
EricScript	0.70
PRADA	0.68
SOAP-fuse	0.68
JAFFA-Assembly	0.66
TrinityFusion-D	0.46
FusionHunter	0.42
