STARSEQR	0.86
ARRIBA	0.84
STAR_FUSION_v1.5	0.81
ChimeraScan	0.78
JAFFA-Direct	0.77
TopHat-Fusion	0.77
nFuse	0.77
FUSIONCATCHER_v1.10_June192019	0.76
deFuse	0.75
ARRIBA_hc	0.74
MapSplice	0.73
PIZZLY	0.73
InFusion	0.72
TrinityFusion-C	0.71
STARCHIP_csm10_pGm2_May012019	0.70
JAFFA-Hybrid	0.67
EricScript	0.66
TrinityFusion-UC	0.64
SOAP-fuse	0.63
JAFFA-Assembly	0.61
ChimPipe	0.55
PRADA	0.55
TrinityFusion-D	0.39
FusionHunter	0.36
STARSEQR	0.95
ARRIBA	0.93
STAR_FUSION_v1.5	0.91
nFuse	0.86
FUSIONCATCHER_v1.10_June192019	0.85
InFusion	0.85
TopHat-Fusion	0.84
ARRIBA_hc	0.83
ChimPipe	0.83
MapSplice	0.83
PIZZLY	0.83
STARCHIP_csm10_pGm2_May012019	0.83
ChimeraScan	0.81
JAFFA-Direct	0.80
deFuse	0.80
TrinityFusion-C	0.79
TrinityFusion-UC	0.79
JAFFA-Hybrid	0.73
PRADA	0.73
SOAP-fuse	0.72
EricScript	0.71
JAFFA-Assembly	0.62
FusionHunter	0.50
TrinityFusion-D	0.45
STARSEQR	0.91
ARRIBA	0.85
STAR_FUSION_v1.5	0.84
nFuse	0.83
InFusion	0.82
ChimeraScan	0.81
JAFFA-Direct	0.81
STARCHIP_csm10_pGm2_May012019	0.81
ChimPipe	0.80
PIZZLY	0.80
deFuse	0.80
FUSIONCATCHER_v1.10_June192019	0.79
TopHat-Fusion	0.79
MapSplice	0.77
ARRIBA_hc	0.74
TrinityFusion-C	0.71
JAFFA-Hybrid	0.69
TrinityFusion-UC	0.69
EricScript	0.68
PRADA	0.67
JAFFA-Assembly	0.62
SOAP-fuse	0.60
FusionHunter	0.41
TrinityFusion-D	0.39
STARSEQR	0.91
ChimeraScan	0.85
FUSIONCATCHER_v1.10_June192019	0.82
STAR_FUSION_v1.5	0.82
TopHat-Fusion	0.82
ARRIBA	0.81
ChimPipe	0.80
JAFFA-Direct	0.80
nFuse	0.80
InFusion	0.78
MapSplice	0.77
PIZZLY	0.77
STARCHIP_csm10_pGm2_May012019	0.76
TrinityFusion-UC	0.74
deFuse	0.74
ARRIBA_hc	0.72
TrinityFusion-C	0.70
EricScript	0.69
SOAP-fuse	0.68
JAFFA-Hybrid	0.64
PRADA	0.64
JAFFA-Assembly	0.62
TrinityFusion-D	0.44
FusionHunter	0.43
STARSEQR	0.93
ARRIBA	0.86
STAR_FUSION_v1.5	0.86
InFusion	0.84
FUSIONCATCHER_v1.10_June192019	0.82
PIZZLY	0.82
nFuse	0.82
ChimPipe	0.81
MapSplice	0.80
ChimeraScan	0.78
STARCHIP_csm10_pGm2_May012019	0.78
TopHat-Fusion	0.78
TrinityFusion-C	0.78
JAFFA-Direct	0.77
deFuse	0.76
TrinityFusion-UC	0.75
ARRIBA_hc	0.74
EricScript	0.70
JAFFA-Hybrid	0.70
PRADA	0.68
SOAP-fuse	0.66
JAFFA-Assembly	0.63
TrinityFusion-D	0.45
FusionHunter	0.42
