STARSEQR	0.86
ARRIBA	0.84
STAR_FUSION_v1.5	0.81
ChimeraScan	0.78
JAFFA-Direct	0.77
FUSIONCATCHER_v1.10_June192019	0.76
ARRIBA_hc	0.74
MapSplice	0.73
PIZZLY	0.73
TopHat-Fusion	0.71
TrinityFusion-C	0.71
JAFFA-Hybrid	0.67
EricScript	0.66
InFusion	0.66
TrinityFusion-UC	0.64
SOAP-fuse	0.63
JAFFA-Assembly	0.61
ChimPipe	0.55
PRADA	0.55
deFuse	0.50
TrinityFusion-D	0.39
STARCHIP_csm10_pGm2_May012019	0.15
FusionHunter	0.11
nFuse	0.02
STARSEQR	0.95
ARRIBA	0.93
STAR_FUSION_v1.5	0.91
FUSIONCATCHER_v1.10_June192019	0.85
ARRIBA_hc	0.83
ChimPipe	0.83
MapSplice	0.83
PIZZLY	0.83
ChimeraScan	0.81
JAFFA-Direct	0.80
TrinityFusion-C	0.79
TrinityFusion-UC	0.79
TopHat-Fusion	0.77
InFusion	0.76
JAFFA-Hybrid	0.73
PRADA	0.73
SOAP-fuse	0.72
EricScript	0.71
JAFFA-Assembly	0.62
deFuse	0.55
TrinityFusion-D	0.45
STARCHIP_csm10_pGm2_May012019	0.19
FusionHunter	0.16
nFuse	0.02
STARSEQR	0.91
ARRIBA	0.85
STAR_FUSION_v1.5	0.84
ChimeraScan	0.81
ChimPipe	0.80
JAFFA-Direct	0.80
PIZZLY	0.80
FUSIONCATCHER_v1.10_June192019	0.79
MapSplice	0.77
ARRIBA_hc	0.74
InFusion	0.73
TopHat-Fusion	0.71
TrinityFusion-C	0.71
JAFFA-Hybrid	0.69
TrinityFusion-UC	0.69
EricScript	0.68
PRADA	0.67
JAFFA-Assembly	0.61
SOAP-fuse	0.60
deFuse	0.50
TrinityFusion-D	0.39
STARCHIP_csm10_pGm2_May012019	0.21
FusionHunter	0.09
nFuse	0.01
STARSEQR	0.91
ChimeraScan	0.85
STAR_FUSION_v1.5	0.82
ARRIBA	0.81
FUSIONCATCHER_v1.10_June192019	0.81
ChimPipe	0.80
JAFFA-Direct	0.80
MapSplice	0.77
PIZZLY	0.77
TopHat-Fusion	0.77
TrinityFusion-UC	0.74
ARRIBA_hc	0.72
InFusion	0.71
TrinityFusion-C	0.70
EricScript	0.69
SOAP-fuse	0.68
JAFFA-Hybrid	0.64
PRADA	0.64
JAFFA-Assembly	0.62
deFuse	0.49
TrinityFusion-D	0.44
STARCHIP_csm10_pGm2_May012019	0.22
FusionHunter	0.14
nFuse	0.01
STARSEQR	0.92
ARRIBA	0.86
STAR_FUSION_v1.5	0.86
FUSIONCATCHER_v1.10_June192019	0.82
PIZZLY	0.82
ChimPipe	0.81
MapSplice	0.80
ChimeraScan	0.78
TrinityFusion-C	0.78
InFusion	0.77
JAFFA-Direct	0.77
TrinityFusion-UC	0.75
ARRIBA_hc	0.74
TopHat-Fusion	0.72
EricScript	0.70
JAFFA-Hybrid	0.70
PRADA	0.68
SOAP-fuse	0.66
JAFFA-Assembly	0.63
deFuse	0.53
TrinityFusion-D	0.45
STARCHIP_csm10_pGm2_May012019	0.20
FusionHunter	0.11
nFuse	0.02
